Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
2348,12/4/2017,7/4/2012,Same Day Shipping,7354,Alonzo Looker,Home Office,United States,San Diego,California,92176,West,2586,Technology,Paper,Laptop,511.88,33,0.13,216.09
3366,12/29/2020,11/28/2017,Standard Shipping,7831,Thomas O'Brallaghan,Consumer,United States,Sacramento,California,95894,West,2271,Technology,Pens,Table,742.39,14,0.06,175.56
5090,12/22/2018,3/24/2018,Express Shipping,6778,Sig Semeradova,Corporate,United States,Huntington Beach,California,92648,South,4314,Furniture,Chairs,Paper,920.38,22,0.31,143.51
2216,6/7/2022,1/3/2013,Standard Shipping,6438,Dennet Abelson,Home Office,United States,San Diego,California,92105,South,3024,Furniture,Chairs,Chair,373.37,95,0.43,139.4
7887,12/8/2016,4/22/2014,Express Shipping,8820,Dov Belcher,Consumer,United States,Mountain View,California,94042,South,3597,Furniture,Pens,Pen,532.36,52,0.38,236.03
4827,8/21/2016,7/2/2014,Same Day Shipping,7203,Niall Middleweek,Home Office,United States,Irvine,California,92619,North,3281,Technology,Phones,Laptop,546.28,63,0.22,452.52
5808,2/19/2014,10/9/2014,Express Shipping,8307,Brendis Olliff,Corporate,United States,Van Nuys,California,91499,South,5888,Technology,Tables,Laptop,924.86,18,0.49,482.22
5946,3/2/2022,12/13/2011,Standard Shipping,8664,Frederique Billingsly,Consumer,United States,Fresno,California,93715,East,9315,Furniture,Tables,Table,742.73,20,0.23,159.31
1589,12/16/2012,5/4/2017,Express Shipping,9399,Tobin Durgan,Home Office,United States,Los Angeles,California,90055,South,7339,Technology,Phones,Chair,739.2,91,0.49,170.14
5763,5/29/2011,12/30/2022,Express Shipping,8207,Clement Clowsley,Consumer,United States,Long Beach,California,90805,East,6004,Technology,Phones,Phone,389.1,33,0.32,182.97
9549,7/21/2019,4/22/2016,Same Day Shipping,4771,Adriaens Grayland,Corporate,United States,San Francisco,California,94110,North,8086,Office Supplies,Paper,Table,108.9,75,0.29,304.33
3135,12/4/2015,5/10/2021,Standard Shipping,4212,Em Aubri,Consumer,United States,Palmdale,California,93591,South,4603,Office Supplies,Chairs,Pen,912.94,77,0.34,238.1
3130,8/3/2018,4/9/2016,Express Shipping,6558,Tuckie McMennum,Consumer,United States,Los Angeles,California,90030,North,2631,Furniture,Paper,Phone,197.58,72,0.06,163.59
1123,5/4/2022,2/15/2022,Standard Shipping,9032,Holly Allbones,Home Office,United States,San Diego,California,92132,West,2908,Furniture,Chairs,Paper,839.52,75,0.46,253.04
8197,12/9/2015,6/24/2022,Same Day Shipping,8701,Doralia Chivrall,Home Office,United States,Fresno,California,93715,West,4799,Office Supplies,Paper,Pen,392.01,48,0.39,129.36
2540,6/10/2020,8/25/2020,Standard Shipping,4024,Lorrie Corbert,Home Office,United States,Sacramento,California,94207,East,6860,Office Supplies,Paper,Laptop,296.5,16,0.05,297.12
4903,11/16/2012,7/8/2011,Standard Shipping,2090,Bartlett Mochan,Consumer,United States,San Diego,California,92176,North,1291,Technology,Paper,Table,306.87,15,0.3,108.32
5871,1/6/2012,11/28/2010,Standard Shipping,3783,Correy Feron,Corporate,United States,San Rafael,California,94913,West,8355,Office Supplies,Laptops,Table,674.07,97,0.06,234.15
3049,7/17/2011,12/14/2015,Same Day Shipping,6053,Marcel Dinnington,Corporate,United States,Sacramento,California,95894,West,1497,Office Supplies,Pens,Table,486.41,80,0.43,365.13
4636,10/18/2012,1/30/2019,Express Shipping,3637,Laird Zecchi,Home Office,United States,Santa Cruz,California,95064,North,3203,Office Supplies,Pens,Paper,931.07,55,0.07,381.11
4389,5/23/2020,9/25/2020,Express Shipping,2702,Katalin Snowdon,Consumer,United States,Pasadena,California,91199,North,2094,Furniture,Paper,Phone,940.53,46,0.46,272.29
8206,4/29/2015,4/7/2018,Express Shipping,3058,Saraann Sowood,Home Office,United States,San Francisco,California,94159,East,2205,Office Supplies,Laptops,Phone,355.34,65,0.19,173.81
